v,i,p,s,q,pf,ih3,ih5,ih7,ih9,ih11,ih13,ih15,ih17,ih19,ih21,ih23,ih25,ih27,ih29,ithd,vh3,vh5,vh7,vh9,vh11,vh13,vh15,vh17,vh19,vh21,vh23,vh25,vh27,vh29,vthd,filename,device,device name,voltagerange,Status,devicenumber,State,Type
200.8,0.224,8.7,45.1,11,0.195,0.2,2.3,0.5,0.8,1.1,1.1,0.6,0.1,0.1,0,0.2,0.3,0.5,0.1,3.2,114.2,107,96.7,92.7,75.4,67.9,57.5,38.7,29.3,16,10.4,2.2,0.1,5.2,242.6,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.8,0.238,9.7,47.9,11.7,0.203,0.4,1.7,1.3,0.9,0.9,0.3,0.7,0.7,0.2,0.1,0.7,0.5,0.2,0.1,3,117.2,114.9,105.5,89,83.2,65.5,59.5,52.5,34.2,26.3,15,9.9,9.1,6.5,256.8,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.8,0.238,9.7,47.9,11.7,0.203,0.1,2.3,0.3,0.8,1.1,1,0.7,0.2,0.2,0.2,0.3,0.5,0.5,0.2,3.2,114.7,111.9,107.4,93.4,80,61.8,49.2,40.7,26.3,15.6,10,7.2,7.7,10,248,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.7,0.219,8.3,44,10.7,0.19,0.3,1.6,1.3,0.8,0.8,0.3,0.7,0.8,0.1,0.1,0.5,0.7,0.2,0.1,2.9,114.7,110.7,100.9,86.9,78.7,57.2,47.1,31.6,31,14.8,11.4,12,7.5,4.7,239.6,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.6,0.242,9.8,48.5,11.9,0.205,0.4,1.5,1.5,0.9,1.1,0.4,0.9,0.8,0.1,0.2,0.5,0.6,0.3,0.1,3.1,112.5,105.4,104.2,109.2,88,77,76.7,58.7,52.3,42.1,32,21.8,12.5,10.9,275.5,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.5,0.218,8.1,43.7,10.6,0.187,0.3,1.8,1.1,0.8,0.9,0.4,0.8,0.7,0.3,0.1,0.5,0.5,0.1,0.1,2.9,107.2,104.9,98.2,97.7,74.5,69.2,58.3,41.2,23.3,15.9,8.8,1.1,3.2,7.4,241,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.4,0.244,10.1,48.9,11.9,0.208,0.3,2.5,0.5,0.8,1.1,0.9,0.2,0.3,0,0.1,0.3,0.1,0.3,0.2,3.2,116.9,110.2,95.2,78.5,72.4,51.6,33.2,29,21.1,13,13.4,8.4,5.9,12.3,238,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.4,0.216,8,43.4,10.4,0.185,0.2,2.2,0.5,0.6,0.9,1.1,0.8,0,0.2,0,0.4,0.4,0.4,0.2,3.1,118.9,116,110.9,96.7,89.5,66,51.5,45.2,34.5,23.6,10.8,6.7,5.5,6.5,261.5,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.5,0.242,9.9,48.7,11.9,0.205,0.2,2.2,0.4,0.7,1.1,1.1,0.4,0.2,0.1,0.2,0.3,0.1,0.4,0.1,3.1,114.2,109.2,103.9,100,82,72.2,56.7,47.3,33.6,25,19.1,15,8.4,4.4,256.3,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.6,0.212,7.9,42.7,10.3,0.186,0.1,2.2,0.5,0.6,0.8,0.9,0.6,0,0.2,0.1,0.6,0.3,0.4,0.1,2.9,107.9,98.4,84.7,78.4,60.1,47.8,31.5,24.3,13.3,17.5,18,18.5,15.3,13.6,209.1,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.6,0.244,10.1,49.1,12,0.206,0.2,2.3,0.4,0.5,0.9,1.1,0.7,0.1,0.3,0,0.4,0.2,0.4,0.2,3.1,115,109.2,95.9,91.2,72.5,66.5,51.6,33.2,24.6,13.5,8,6.2,3.6,7.9,239,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.6,0.244,10.1,49.1,12,0.206,0.3,2.7,0.4,0.7,1.1,0.9,0.2,0.2,0.2,0.1,0.4,0.1,0.4,0.3,3.3,119.2,112.7,104,90.5,77,55.2,44.5,28.3,25.6,19.6,7.2,6.7,5.4,2.2,254.1,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.9,0.218,8.1,43.9,10.6,0.186,0.3,1.7,1.3,0.7,0.8,0.5,0.9,0.8,0.3,0.1,0.4,0.3,0.2,0.1,2.9,117,112.2,103.7,87,81.9,59.8,44.3,23.6,17.1,7.7,6,11.6,14.3,19,242,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.7,0.243,9.8,48.8,11.8,0.203,0.4,1.8,1.3,0.8,0.7,0.1,0.6,0.8,0.2,0,0.4,0.4,0.2,0.2,2.7,120.4,112.4,104.5,95.4,68.7,59.8,47.7,25.1,24.8,12.9,8.5,9.5,11.9,12.1,244.4,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.7,0.218,8.3,43.9,10.7,0.191,0.2,2.3,0.4,0.6,0.9,1.1,0.7,0.1,0.3,0,0.4,0.2,0.4,0.2,3.1,116,106.7,98.7,95.2,79.7,63.7,57.1,35.3,34.2,18.6,15.8,10.6,6.5,4.4,246.1,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.6,0.236,9.3,47.4,11.5,0.197,0.4,1.6,1.3,0.9,1,0.3,0.7,0.7,0.2,0.1,0.7,0.5,0.2,0,3,116,108.2,98,92.5,76,65.5,57.6,38.3,24.8,15.6,9,2.3,7.5,10.8,243.6,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.7,0.226,8.4,45.4,10.9,0.187,0.2,2.3,0.4,0.5,1.3,1,0.3,0.2,0.2,0.2,0.5,0.1,0.3,0.1,3.1,118.4,109.9,101,96,79.9,64.2,48.8,27.6,23.1,5.5,10.6,13.6,15.8,21.8,246.6,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.7,0.234,9.1,47,11.4,0.196,0.3,1.9,1.3,0.9,0.9,0.5,0.9,0.9,0.3,0.1,0.6,0.4,0.1,0.1,3.2,110.5,105.2,99,99,83.5,75.7,67.2,49.1,42.7,32.8,23.8,10,9.3,10.9,257.6,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.9,0.229,8.8,46.1,11.1,0.192,0.3,2.2,0.5,0.4,1.1,0.9,0.3,0.2,0.1,0,0.4,0.2,0.7,0.2,3,101.5,96.7,90.9,89.9,89.4,73.7,78.7,75.2,64.5,52.8,40.3,34.7,28.6,23.6,269.3,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.9,0.229,8.8,46.1,11.1,0.192,0.4,2.5,0.4,0.7,1.1,1,0.3,0.1,0.1,0,0.3,0.1,0.4,0.2,3.2,119.7,118,116.7,104.5,94,77.2,67.7,60.8,50,38.5,23.1,16.6,11.1,5.7,284.6,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.8,0.227,8.8,45.6,11.1,0.195,0.4,1.7,1.5,0.9,0.9,0.4,0.9,0.7,0.1,0,0.5,0.2,0.2,0.1,3.1,116.2,113.7,115.5,108.2,98.4,83.7,77.9,64.4,58.7,52.1,33.3,28.1,13.6,9,294.6,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.8,0.229,9,46.1,11.2,0.197,0.2,2.3,0.5,0.7,1.1,1,0.2,0.2,0.1,0,0.3,0,0.3,0.3,3.1,115.2,107.5,96.7,91.4,73.5,63.7,51.2,37.3,22.8,15.1,9.3,8,6.4,6.5,238.9,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
